"hasTarget","CAS.nummer","EC.Nummer","Stofnaam_IUPAC","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig"
"","102110-55-4","310-057-6","Residues (petroleum), steam-cracked light, arom.|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by the distillation of the products of steam cracking or similar processes after taking off the very light products re",1,0,0,0,0,0,0,0
"","102110-60-1","310-061-8","Slimes and Sludges, battery scrap, antimony- and lead-rich",0,0,1,0,0,1,0,0
"","102110-61-2","310-062-3","Slimes and Sludges, copper conc. roasting off gas scrubbing, lead-mercury-selenium-contg.",0,0,1,0,0,1,0,0
"","102110-62-3","310-063-9","Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.",0,0,1,0,0,1,0,0
"","10214-39-8","677-597-5","Boric acid (HBO2), lead(2+) salt, monohydrate",0,0,1,0,0,1,0,0
"","102184-95-2","310-077-5","Silicic acid, zirconium salt, cadmium pigment-encapsulated",0,0,1,0,0,1,0,0
"","102525-64-4","","Arsenic acid (H3AsO4), copper(2+) salt (4:1)",0,0,1,0,0,0,0,0
"","102570-52-5","","4-(3-methylhexyl)phenol",0,1,0,0,0,0,0,0
"","10257-71-3","","Mercuric paraben",0,0,0,0,0,1,0,0
"","10294-44-7","","Chloric acid, mercury(1+) salt",0,0,0,0,0,1,0,0
"","10294-47-0","","Lead chlorate",0,0,1,0,0,1,0,0
"","10294-58-3","233-664-7","Lead diphosphinate",0,0,1,0,0,1,0,0
"","102-99-8","","3-(Acetoxymercuri)pyridine",0,0,0,0,0,1,0,0
"","10326-28-0","629-339-8","Cadmium perchlorate hexahydrate",0,0,1,0,0,1,0,0
"","103332-13-4","","Mercury, (2-ethylhexanoato-O)(1-methoxycyclohexyl)-",0,0,0,0,0,1,0,0
"","103369-15-9","","Mercury, (1-methoxycyclohexyl)(neodecanoato-O)-",0,0,0,0,0,1,0,0
"","103427-19-6","","1-Propanesulfonic acid, 2-hydroxy-, lead(2+) salt (2:1)",0,0,1,0,0,1,0,0
"","103730-90-1","","Plumbylium, ethyldimethyl-",0,0,1,0,0,1,0,0
"","104325-07-7","","Mercury, (1-methoxyethyl)(9-octadecenoato-O)-, (Z)-",0,0,0,0,0,1,0,0
"","104325-08-8","","Mercury, (1-methoxycyclohexyl)(9-octadecenoato-O)-,(Z)-",0,0,0,0,0,1,0,0
"","104335-53-7","","Mercury, (1-methoxyethyl)(neodecanoato-O)",0,0,0,0,0,1,0,0
"","104339-46-0","","Mercury, (2-ethylhexanoato-O)(1-methoxyethyl)",0,0,0,0,0,1,0,0
"","10451-12-4","233-939-1","Phosphoric acid, mercury salt",0,0,0,0,0,1,0,0
"","10471-42-8","","Nickel tartrate",0,0,1,0,0,1,0,0
"","10476-87-6","233-973-7","Strychnine dimethylarsinate",0,0,1,0,0,0,0,0
"","105034-60-4","","Tetraiodide diammonium cadmium",0,0,1,0,0,1,0,0
"","10534-88-0","620-832-3","Hexaamminenickel(II) chloride",0,0,1,0,0,1,0,0
"","10580-03-7","600-678-3","Titanate(2-), bis[ethanedioato(2-)-O,O']oxo-, diammonium, monohydrate, (SP-5-21)-",0,0,1,0,0,0,0,0
"","105956-70-5","","Plumbylium, diethylmethyl-",0,0,1,0,0,1,0,0
"","106097-61-4","","Gallium arsenide phosphide",0,0,1,0,0,0,0,0
"","106316-55-6","","Nickel, aqua[2-[2-[4,5-dihydro-3-methyl-5-(oxo-κO)-1H-pyrazol-4-yl]diazenyl-κN1]benzoato(2-)-κO]-",0,0,1,0,0,1,0,0
"","106599-06-8","","Phenol, p-sec-nonyl-, phosphite",0,1,0,0,0,0,0,0
"","106887-33-6","","Nickel, [N-(4-chlorophenyl)-3-[2-[[1-(4-chlorophenyl)-4,5-dihydro-3-methyl-5-(oxo-κO)-1H-pyrazol-4-yl]methylene]hydrazinylidene-κN2]-α-cyano-1H-isoindole-3-acetamidato(2-)-κN2,κO3]-",0,0,1,0,0,1,0,0
"","108225-03-2","402-060-7","(6-(4-hydroxy-3-(2-methoxyphenylazo)-2-sulfonato-7-naphthylamino)-1,3,5-triazin-2,4-diyl)bis[(amino-1-methylethyl)ammonium] formate",1,0,0,0,0,0,0,0
"","108350-80-7","","Lead hydroxide (Pb(OH))",0,0,1,0,0,1,0,0
"","108427-54-9","","N,N,N-tributylbutan-1-aminium tridecafluorohexane-1-sulfonate",0,1,0,1,0,0,0,0
"","108427-55-0","","N,N,N-triethylethanaminium tridecafluorohexane-1-sulfonate",0,1,0,1,0,0,0,0
"","108818-89-9","","Nickel(2+), hexakis(1H-imidazole-κN3)-, (OC-6-11)-, 1,2-benzenedicarboxylate (1:1)",0,0,1,0,0,1,0,0
"","109202-58-6","432-750-3","<i>O</i>-hexyl-<i>N</i>-ethoxycarbonylthiocarbamate",1,0,0,0,0,0,0,0
"","109707-90-6","","Carbamodithioic acid, dipentyl-, lead(2+) salt",0,0,1,0,0,1,0,0
"","11079-07-5","679-904-8","Ethylenediaminetetraacetic Acid Disodium Nickel(II) Salt Hydrate",0,0,1,0,0,1,0,0
"","11081-15-5","","phenol, isooctyl-",0,0,0,0,1,0,0,0
"","11083-41-3","234-306-2","Mercury, compound with titanium (1:3)",0,0,0,0,0,1,0,0
"","11099-02-8","234-323-5","nickel oxide",1,0,0,0,0,0,0,0
"","11110-52-4","680-624-3","sodium mercury amalgam",0,0,0,0,0,1,0,0
"","11113-70-5","234-347-6","Silicic acid, chromium lead salt",0,0,1,0,0,1,0,0
"","11116-83-9","234-358-6","Dibismuth dilead tetraruthenium tridecaoxide",0,0,1,0,0,1,0,0
"","11132-10-8","","nickel potassium fluoride ",1,0,1,0,0,1,0,0
"","1119449-37-4","","2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol",0,1,0,0,0,0,0,0
